PSP:ON_PROT_INTERACT,count
OSR1,1
NQO1,1
RPS3,1
RANGAP1,1
TR-alpha,1
RARA,1
MCTS1,1
DNMT1,1
CAP1,1
SLX4,1
SDS3,1
TLK1,1
SMTNL2,1
SSH1,1
ARPC4,1
FKBPL,1
PSMD7,1
AMBRA1,1
WDR77,1
SMARCA4,1
CASP10,1
ARPC1B,1
MEKK1,1
RUBCNL,1
DYNLL2,1
CRADD,1
C1QBP,1
ACTN1 iso2,1
SWAP-70,1
PAH,1
STYK1,1
STIM1,1
DNA2,1
RAD50,1
PVR,1
C/EBP-beta,1
IGF2R,1
Trap150,1
H2AZ,1
ATF-2,1
NEIL1,1
BRD2,1
RNF12,1
TACC3,1
EFNB1,1
HNF4 alpha,1
NR5A2,1
BRME1,1
ATP5F1,1
AP-2 alpha,1
LAT,1
PCQAP,1
CYFIP1,1
Borealin,1
KLF5,1
tensin 2,1
UBE2S,1
PRDX1,1
CENPJ,1
TGFBR3,1
Claudin-7,1
WDR48,1
BIN3,1
DJ-1,1
CSTF2,1
SOCS6,1
hnRNP F,1
hnRNP K,1
USP22,1
MAP1LC3B2,1
DGKZ,1
SEMA4C,1
CREB,1
FBXO25,1
JAK3,1
MIA,1
P311,1
DYNLT1,1
SHC1 iso2,1
NR1I3,1
ephexin-1,1
EBP,1
G-alpha 13,1
CDK11B,1
p27Kip1,1
DERL1,1
FBXO44,1
GRIN1,1
FBPase 2,1
FBXO11,1
SLC27A1,1
MARS,1
KARS,1
hnRNP E2,1
NSAP1,1
PARP2,1
AP1G1,1
SNX1,1
SNX2,1
SEC16A,1
EHMT2 iso4,1
ARAF,1
SHRM,1
CAPZB iso1,1
EEF1A1,1
VARS,1
CARS,1
ACTN4,1
APPBP1,1
PRMT1,1
CRYA1,1
SLC5A5,1
USP51,1
MEK2,1
DRD2,1
AMOT,1
LIN28B,1
MED28,1
RNF167,1
WDR59,1
MIOS,1
WDR24,1
TRIM23,1
Snail2,1
BVR,1
POR,1
HBXIP,1
STAT5B,1
RBM38,1
LOXL3,1
SEC24B,1
JUB,1
SEC24A,1
SEC13,1
FBXW5,1
CACNA1C,1
RNF152,1
KIF2C,1
HECTD1,1
JunB,1
UBE2L3,1
SPC25,1
SPBC24,1
SAMHD1,1
TM4SF5,1
TRAF3,1
IKKE,1
ERM,1
PTPRT iso1,1
NLGN1,1
B-Myb,1
PC4,1
SYNPO,1
GJA1,1
MOBKL2A,1
TIAM1,1
syndecan-4,1
ETV4,1
CARM1,1
ERK1 iso3,1
JOSD1,1
NOXA,1
DEPTOR,1
CEP250,1
CROCC,1
PIK3CG,1
MYH2,1
SLC22A11,1
ITGAL,1
GATA1,1
Bcl-11A,1
PHF20L1,1
HRI,1
PRDX2,1
RAD21,1
LARP2,1
AKAP5,1
CDK5RAP2,1
PDE4DIP,1
LARP,1
ANXA1,1
HADHB,1
HADHA,1
RILPL2,1
TBC1D20,1
TNKS,1
CD2AP,1
FBXL2,1
MEN1,1
PPP1R13B,1
RAG1,1
RHEB,1
EST1A,1
NCM,1
VWF,1
NOTCH3,1
FZR1,1
mucolipin 1,1
ALG2,1
PRUNE,1
KCNN4,1
Rab4,1
BMF,1
ACE,1
MYH9,1
XRN2,1
RNF20,1
TXA2-R iso2,1
CD82,1
RFC2,1
HLAA,1
ADRA2B,1
EXOC4,1
PECAM-1,1
SCO2,1
GLS2,1
PKHF1,1
MDM4,1
TK,1
MMP2,1
RING1,1
UBA52,1
UPF2,1
PRPF4,1
snRNP B1,1
TRDN,1
ATRX,1
UHRF1,1
UBE3C,1
hnRNP A3,1
SENP3,1
REPS2,1
MGAT5,1
MCM6,1
CHD-3,1
POLH,1
CHD-1,1
CTCF,1
BORA,1
KIF20B,1
CPEB,1
PEX14,1
AP1AR,1
RP1,1
AMPD2,1
CLCC1,1
PLEKHO1,1
RALA,1
PTGIR,1
COPS5,1
PYGO1,1
PRPF6,1
snRNP C,1
snRNP A,1
SMG5,1
SF2,1
PDGFRA,1
5-HT,1
PSMD10,1
G6PI,1
LIN52,1
NPHS2,1
AP-2 beta,1
hnRNP A2/B1,1
AREL1 iso2,1
BCOR,1
